date,home_team,away_team,home_shots,away_shots,home_sot,away_sot
2015-11-22,Genoa,Sassuolo,14,9,3,4
2015-11-22,Fiorentina,Empoli,18,15,5,5
2015-11-22,Lazio,Palermo,18,13,3,8
2015-11-22,Udinese,Sampdoria,9,10,4,0
2015-11-22,Verona,Napoli,3,22,3,10
2015-11-22,Carpi,Chievo,19,10,3,3
2015-11-28,Torino,Bologna,13,3,6,0
2015-11-28,AC Milan,Sampdoria,22,10,9,2
2015-11-29,Roma,Atalanta,17,4,3,3
2015-11-29,Frosinone,Verona,16,16,6,8
2015-11-29,Genoa,Carpi,9,15,3,5
2015-11-29,Chievo,Udinese,13,14,6,5
2015-11-29,Empoli,Lazio,5,16,1,5
2015-11-29,Palermo,Juventus,11,16,0,4
2015-11-30,Sassuolo,Fiorentina,16,17,2,4
2015-12-01,Napoli,Inter,12,11,4,2
2015-12-04,Lazio,Juventus,12,7,3,1
2015-12-05,Torino,Roma,11,5,5,3
2015-12-05,Inter,Genoa,14,4,5,2
2015-12-06,Bologna,Napoli,11,16,4,7
2015-12-06,Atalanta,Palermo,12,17,4,4
2015-12-06,Fiorentina,Udinese,14,8,5,0
2015-12-06,Frosinone,Chievo,14,10,3,3
2015-12-06,Verona,Empoli,18,11,4,5
2015-12-06,Sampdoria,Sassuolo,8,17,2,10
2015-12-06,Carpi,AC Milan,11,20,3,7
2015-12-12,Genoa,Bologna,19,10,4,2
2015-12-12,Palermo,Frosinone,20,15,6,3
2015-12-12,Udinese,Inter,22,13,7,7
2015-12-13,Juventus,Fiorentina,16,6,6,1
2015-12-13,Napoli,Roma,12,4,4,0
2015-12-13,Empoli,Carpi,13,14,4,4
2015-12-13,AC Milan,Verona,17,11,6,2
2015-12-13,Chievo,Atalanta,15,6,3,2
2015-12-14,Lazio,Sampdoria,14,11,2,5
2015-12-19,Bologna,Empoli,13,17,4,7
2015-12-20,Inter,Lazio,7,7,1,3
2015-12-20,Frosinone,AC Milan,15,22,6,10
2015-12-20,Torino,Udinese,10,12,1,6
2015-12-20,Sampdoria,Palermo,17,11,7,5
2015-12-20,Roma,Genoa,7,12,2,4
2015-12-20,Verona,Sassuolo,10,16,6,4
2015-12-20,Atalanta,Napoli,16,15,5,5
2015-12-20,Fiorentina,Chievo,14,7,8,0
2015-12-20,Carpi,Juventus,11,11,3,6
2016-01-05,Genoa,Sampdoria,18,11,10,5
2016-01-06,Napoli,Torino,17,9,8,4
2016-01-06,Empoli,Inter,16,14,4,3
2016-01-06,AC Milan,Bologna,17,7,4,3
2016-01-06,Lazio,Carpi,15,5,0,2
2016-01-06,Udinese,Atalanta,18,20,6,6
2016-01-06,Sassuolo,Frosinone,30,6,3,2
2016-01-06,Palermo,Fiorentina,11,11,3,5
2016-01-06,Chievo,Roma,12,14,6,5
2016-01-06,Juventus,Verona,15,7,6,1
2016-01-09,Carpi,Udinese,13,10,6,5
2016-01-09,Fiorentina,Lazio,17,10,6,5
2016-01-09,Roma,AC Milan,12,17,5,6
2016-01-10,Sampdoria,Juventus,9,13,2,5
2016-01-10,Verona,Palermo,31,9,7,2
2016-01-10,Torino,Empoli,19,11,6,4
2016-01-10,Frosinone,Napoli,9,24,3,9
2016-01-10,Atalanta,Genoa,14,13,0,2
2016-01-10,Bologna,Chievo,16,8,2,2
2016-01-10,Inter,Sassuolo,21,15,6,6
2016-01-16,Atalanta,Inter,18,14,5,2
2016-01-16,Torino,Frosinone,22,18,9,5
2016-01-16,Napoli,Sassuolo,20,9,6,3
2016-01-17,Genoa,Palermo,18,11,10,3
2016-01-17,Bologna,Lazio,8,10,3,3
2016-01-17,Udinese,Juventus,8,13,3,8
2016-01-17,Roma,Verona,16,10,4,3
2016-01-17,Chievo,Empoli,15,14,5,5
2016-01-17,Carpi,Sampdoria,9,12,5,4
2016-01-17,AC Milan,Fiorentina,4,14,3,1
2016-01-20,Sassuolo,Torino,13,8,3,5
2016-01-23,Empoli,AC Milan,16,10,6,5
2016-01-23,Frosinone,Atalanta,11,16,1,3
2016-01-24,Fiorentina,Torino,13,9,2,2
2016-01-24,Sampdoria,Napoli,8,23,4,9
2016-01-24,Inter,Carpi,18,12,6,4
2016-01-24,Sassuolo,Bologna,14,16,2,7
2016-01-24,Verona,Genoa,18,10,9,2
2016-01-24,Lazio,Chievo,24,7,7,5
2016-01-24,Palermo,Udinese,16,20,8,9
2016-01-24,Juventus,Roma,15,5,7,1
2016-01-30,Carpi,Palermo,13,5,1,1
2016-01-30,Atalanta,Sassuolo,6,9,5,1
2016-01-30,Roma,Frosinone,22,13,6,3
2016-01-31,Bologna,Sampdoria,7,14,5,6
2016-01-31,Genoa,Fiorentina,11,11,2,2
2016-01-31,AC Milan,Inter,14,12,5,3
2016-01-31,Napoli,Empoli,20,8,6,2
2016-01-31,Udinese,Lazio,11,17,1,1
2016-01-31,Chievo,Juventus,6,30,2,10
2016-01-31,Torino,Verona,16,10,6,3
2016-02-02,Sassuolo,Roma,17,13,6,5
2016-02-03,Frosinone,Bologna,20,15,7,3
2016-02-03,Fiorentina,Carpi,11,7,5,2
2016-02-03,Inter,Chievo,24,7,8,0
2016-02-03,Juventus,Genoa,11,8,2,2
2016-02-03,Palermo,AC Milan,12,16,2,8
2016-02-03,Lazio,Napoli,8,11,0,5
2016-02-03,Sampdoria,Torino,9,14,4,6
2016-02-03,Empoli,Udinese,19,5,4,2
2016-02-03,Verona,Atalanta,13,18,4,4
2016-02-06,Genoa,Lazio,5,10,1,2
2016-02-06,Bologna,Fiorentina,12,12,6,2
2016-02-07,Verona,Inter,10,15,4,7
2016-02-07,Frosinone,Juventus,5,25,0,9
2016-02-07,Sassuolo,Palermo,23,7,6,2
2016-02-07,Napoli,Carpi,22,3,7,0
2016-02-07,Torino,Chievo,13,8,4,3
2016-02-07,AC Milan,Udinese,22,9,5,5
2016-02-07,Atalanta,Empoli,11,9,2,3
2016-02-07,Roma,Sampdoria,14,10,4,4
2016-02-11,Lazio,Verona,18,8,7,4
2016-02-12,Carpi,Roma,7,19,2,6
2016-02-13,Empoli,Frosinone,29,10,6,2
2016-02-13,Chievo,Sassuolo,11,16,4,2
2016-02-13,Juventus,Napoli,13,7,4,1
2016-02-14,Udinese,Bologna,10,11,2,2
2016-02-14,Sampdoria,Atalanta,10,9,2,2
2016-02-14,Fiorentina,Inter,13,6,7,1
2016-02-14,AC Milan,Genoa,14,6,6,2
2016-02-14,Palermo,Torino,19,20,5,7
2016-02-19,Bologna,Juventus,8,10,1,0
2016-02-20,Verona,Chievo,20,14,8,2
2016-02-20,Inter,Sampdoria,6,19,3,3
2016-02-21,Genoa,Udinese,21,13,8,6
2016-02-21,Sassuolo,Empoli,13,10,7,4
2016-02-21,Atalanta,Fiorentina,13,14,5,8
2016-02-21,Torino,Carpi,11,5,4,0
2016-02-21,Frosinone,Lazio,9,18,1,2
2016-02-21,Roma,Palermo,25,5,5,2
2016-02-23,Napoli,AC Milan,19,7,4,2
2016-02-27,AC Milan,Torino,19,11,3,4
2016-02-27,Empoli,Roma,8,16,3,6
2016-02-28,Palermo,Bologna,7,17,4,5
2016-02-28,Sampdoria,Frosinone,25,15,6,1
2016-02-28,Chievo,Genoa,16,11,6,4
2016-02-28,Udinese,Verona,13,10,4,2
2016-02-28,Carpi,Atalanta,10,12,4,5
2016-02-28,Juventus,Inter,9,8,5,3
2016-02-29,Lazio,Sassuolo,15,8,3,6
2016-03-01,Fiorentina,Napoli,12,6,1,5
2016-03-04,Roma,Fiorentina,14,11,7,1
2016-03-05,Verona,Sampdoria,11,14,4,8
2016-03-05,Napoli,Chievo,25,8,10,2
2016-03-06,Bologna,Carpi,17,6,3,2
2016-03-06,Inter,Palermo,10,9,5,4
