date,home_team,away_team,home_xg,away_xg
2025-04-11,Wolfsburg,RasenBallsport Leipzig,1.84361,1.60065
2025-04-12,Bayer Leverkusen,Union Berlin,0.495489,0.513825
2025-04-12,Hoffenheim,Mainz 05,1.42393,0.969601
2025-04-12,Borussia M.Gladbach,Freiburg,0.524784,2.31704
2025-04-12,Bochum,Augsburg,1.86097,1.02536
2025-04-12,Holstein Kiel,St. Pauli,0.692664,1.06614
2025-04-12,Bayern Munich,Borussia Dortmund,2.94706,1.71681
2025-04-13,VfB Stuttgart,Werder Bremen,1.75437,1.65438
2025-04-13,Eintracht Frankfurt,FC Heidenheim,3.64515,1.28841
2025-04-19,Union Berlin,VfB Stuttgart,2.16124,1.19
2025-04-19,Mainz 05,Wolfsburg,2.68235,1.80796
2025-04-19,Freiburg,Hoffenheim,1.54968,1.94701
2025-04-19,RasenBallsport Leipzig,Holstein Kiel,2.16761,1.017
2025-04-19,FC Heidenheim,Bayern Munich,0.529774,3.54191
2025-04-19,Werder Bremen,Bochum,2.70919,0.4947
2025-04-20,Augsburg,Eintracht Frankfurt,1.14215,1.39546
2025-04-20,Borussia Dortmund,Borussia M.Gladbach,1.18456,1.2185
2025-04-20,St. Pauli,Bayer Leverkusen,2.3164,1.13491
2025-04-25,VfB Stuttgart,FC Heidenheim,1.91698,0.522621
2025-04-26,Eintracht Frankfurt,RasenBallsport Leipzig,2.23942,0.316263
2025-04-26,Holstein Kiel,Borussia M.Gladbach,3.0385,2.55098
2025-04-26,Wolfsburg,Freiburg,0.288019,1.95821
2025-04-26,Hoffenheim,Borussia Dortmund,1.19025,2.41526
2025-04-26,Bayer Leverkusen,Augsburg,1.03782,0.640893
2025-04-26,Bayern Munich,Mainz 05,1.70143,0.923874
2025-04-27,Bochum,Union Berlin,1.5178,0.498974
2025-04-27,Werder Bremen,St. Pauli,1.55064,0.830832
2025-05-02,FC Heidenheim,Bochum,0.463987,1.81311
2025-05-03,St. Pauli,VfB Stuttgart,0.213208,3.56335
2025-05-03,Borussia Dortmund,Wolfsburg,2.54996,1.3634
2025-05-03,Borussia M.Gladbach,Hoffenheim,1.91833,1.91093
2025-05-03,RasenBallsport Leipzig,Bayern Munich,1.74905,1.97214
2025-05-03,Union Berlin,Werder Bremen,1.35336,1.35783
2025-05-04,Augsburg,Holstein Kiel,3.93001,2.10407
2025-05-04,Freiburg,Bayer Leverkusen,0.904468,0.227838
2025-05-04,Mainz 05,Eintracht Frankfurt,1.64254,1.3876
2025-05-09,Wolfsburg,Hoffenheim,1.36763,1.10881
2025-05-10,Bayern Munich,Borussia M.Gladbach,2.78307,1.35544
2025-05-10,Holstein Kiel,Freiburg,0.974297,2.01558
2025-05-10,Bochum,Mainz 05,0.734972,2.48765
2025-05-10,Werder Bremen,RasenBallsport Leipzig,3.20616,1.39403
2025-05-10,Union Berlin,FC Heidenheim,0.528885,1.86184
2025-05-11,Bayer Leverkusen,Borussia Dortmund,1.90473,1.39477
2025-05-11,Eintracht Frankfurt,St. Pauli,1.82027,0.666882
2025-05-11,VfB Stuttgart,Augsburg,4.97233,0.381838
2025-05-17,St. Pauli,Bochum,0.802748,1.34252
2025-05-17,Borussia M.Gladbach,Wolfsburg,0.744546,1.5757
2025-05-17,Mainz 05,Bayer Leverkusen,2.89903,1.33572
2025-05-17,Augsburg,Union Berlin,1.57932,1.14135
2025-05-17,Hoffenheim,Bayern Munich,0.661398,2.21427
2025-05-17,FC Heidenheim,Werder Bremen,1.75706,2.20606
2025-05-17,Borussia Dortmund,Holstein Kiel,2.56073,0.574499
2025-05-17,RasenBallsport Leipzig,VfB Stuttgart,1.42373,3.34624
2025-05-17,Freiburg,Eintracht Frankfurt,1.14001,2.61814
2025-08-22,Bayern Munich,RasenBallsport Leipzig,3.29885,0.52226
2025-08-23,FC Heidenheim,Wolfsburg,0.783156,2.57718
2025-08-23,Bayer Leverkusen,Hoffenheim,1.05253,0.505193
2025-08-23,Union Berlin,VfB Stuttgart,0.529421,1.80147
2025-08-23,Eintracht Frankfurt,Werder Bremen,3.10684,0.587822
2025-08-23,Freiburg,Augsburg,2.27247,1.30191
2025-08-23,St. Pauli,Borussia Dortmund,1.46772,2.10289
2025-08-24,Mainz 05,FC Cologne,1.31655,1.64676
2025-08-24,Borussia M.Gladbach,Hamburger SV,1.01717,0.285593
2025-08-29,Hamburger SV,St. Pauli,0.74111,1.85404
2025-08-30,Werder Bremen,Bayer Leverkusen,2.32676,2.03733
2025-08-30,VfB Stuttgart,Borussia M.Gladbach,0.925105,1.60717
2025-08-30,Hoffenheim,Eintracht Frankfurt,1.28178,1.82087
2025-08-30,RasenBallsport Leipzig,FC Heidenheim,3.29717,0.969982
2025-08-30,Augsburg,Bayern Munich,0.506028,3.37523
2025-08-31,Borussia Dortmund,Union Berlin,1.82606,0.971167
2025-08-31,Wolfsburg,Mainz 05,0.616661,1.81482
2025-08-31,FC Cologne,Freiburg,1.84068,0.933072
